SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
83GS2040,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2019-12-31,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
717GS2028,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
833GS2026,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
RITES,RITES Limited,-,EQ,10, Interim Dividend-Rs 6 Per Share,2020-01-09,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
759GS2026,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-09,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
726GS2029,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-10,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
617GS2021,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
JVLAGRO,JVL Agro Industries Limited,-,EQ,1, Annual General Meeting,2020-01-14,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SIS,Security and Intelligence Services (India) Limited,-,EQ,5, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,2020-01-15,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
683GS2039,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-16,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
700GS2021,GOI LOAN 7.00% 2021,-,GS,100, Interest Payment,2020-01-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SUVEN,Suven Life Sciences Limited,-,EQ,1, Demerger,2020-01-21,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
DELTACORP,Delta Corp Limited,-,EQ,1, Interim Dividend - Rs 0.75 Per Share,2020-01-22,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ASTERDM,Aster DM Healthcare Limited,-,EQ,10, Buy Back,2020-01-23,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
TCS,Tata Consultancy Services Limited,-,EQ,1, Interim Dividend - Rs 5 Per Share,2020-01-23,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
VALUEIND,Value Industries Limited,-,EQ,10, Annual General Meeting,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
HCLTECH,HCL Technologies Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
732GS2024,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
84GS2024,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
WIPRO,Wipro Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-01-24,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
INDIGRID,India Grid Trust,-,IV,100, Distribution,2020-01-27,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
IIFLWAM,Iifl Wealth Management Limited,-,EQ,2, Interim Dividend- Rs 10 Per Share,2020-01-29,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
826GS2027,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
832GS2032,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
PRATIBHA,Pratibha Industries Limited,-,EQ,2, Annual General Meeting,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
GRANULES,Granules India Limited,-,EQ,1, Interim Dividend - Re 0.25 Per Share,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
GMMPFAUDLR,GMM Pfaudler Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
808GS2022,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SHARDACROP,Sharda Cropchem Limited,-,EQ,10, Interim Dividend Rs 2 Per Share,2020-01-31,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
MOTILALOFS,Motilal Oswal Financial Services Limited,-,EQ,1, Interim Dividend-Rs 4 Per Share,2020-01-31,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
DBCORP,D.B.Corp Limited,-,EQ,10, Interim Dividend Rs 3.5 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
NAM-INDIA,Nippon Life India Asset Management Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
TCIEXP,TCI Express Limited,-,EQ,2, Interim Dividend - Rs 1.50 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SIEMENS,Siemens Limited,-,EQ,2, Dividend - Rs 7 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
RBL,Rane Brake Lining Limited,-,EQ,10, Interim Dividend - Rs 6 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
CONTROLPR,Control Print Limited,-,EQ,10, Interim Dividend Rs 3.5 Per Share,2020-02-04,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
BAJAJELEC,Bajaj Electricals Limited,-,EQ,2, Rights 13:118 @ Premium Rs 308/-,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
SHRIPISTON,Shriram Pistons & Rings Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
GODREJCP,Godrej Consumer Products Limited,-,EQ,1, Interim Dividend - Rs 2 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
VINATIORGA,Vinati Organics Limited,-,EQ,1, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Rs 1/- Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ALKALI,Alkali Metals Limited,-,EQ,10, Interim Dividend -Rs 1 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ACCELYA,Accelya Solutions India Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
ZENSARTECH,Zensar Technologies Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
PERSISTENT,Persistent Systems Limited,-,EQ,10, Interim Dividend - Rs 9 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
DCMSHRIRAM,DCM Shriram Limited,-,EQ,2, Interim Dividend - Rs 4.20 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
CCL,CCL Products (India) Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
75GS2034,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-05 16:38:47
