SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
ENGINERSIN,Engineers India Limited,-,EQ,5, Interim Dividend - Rs 3.60 Per Share,2020-02-14,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
SYMPHONY,Symphony Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share/ Splecial Dividend - Rs 18 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
HEROMOTOCO,Hero MotoCorp Limited,-,EQ,2, Interim Dividend - Rs 65 Per Sh,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
HIKAL,Hikal Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
IFGLEXPOR,IFGL Refractories Limited,-,EQ,10, Interim Dividend - Rs 2.50 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
OSEINTRUST,Oriental InfraTrust,-,IV,100, Distribution - Rs 0.51 Per Unit,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
MINDACORP,Minda Corporation Limited,-,EQ,2, Int Dividend - Rs 0.35 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
MINDAIND,Minda Industries Limited,-,EQ,2, Interim Dividend - Rs 0.40 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
KPITTECH,KPIT Technologies Limited,-,EQ,10, Interim Dividend - Rs 0.55 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
NHPC,NHPC Limited,-,EQ,10, Int Dividend - Rs 1.18 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
RANEHOLDIN,Rane Holdings Limited,-,EQ,10, Interim Dividend - Rs 4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
RITES,RITES Limited,-,EQ,10, Interim Dividend - Rs 4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
STARCEMENT,Star Cement Limited,-,EQ,1, Interim Dividend - Re 1 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
SUNPHARMA,Sun Pharmaceutical Industries Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
ASTRAL,Astral Poly Technik Limited,-,EQ,1, Interim Dividend - Re 0.60 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
AUROPHARMA,Aurobindo Pharma Limited,-,EQ,1, Interim Dividend - Rs 1.75 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
ADFFOODS,ADF Foods Limited,-,EQ,10, Interim Dividend - Rs 1.5 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
AARTIDRUGS,Aarti Drugs Limited,-,EQ,10, Interim Dividend - Rs 2 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
GAIL,GAIL (India) Limited,-,EQ,10, Interim Dividend - Rs 6.4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
DALBHARAT,Dalmia Bharat Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
HEG,HEG Limited,-,EQ,10, Interim Dividend - Rs 25 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
VIKASPROP,Vikas Proppant & Granite Limited,-,EQ,1, Interim Dividend - Re 0.10 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
VIDHIING,Vidhi Specialty Food Ingredients Limited,-,EQ,1, Interim Dividend - Re 0.40 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
FINEORG,Fine Organic Industries Limited,-,EQ,5, Interim Dividend - Rs 4 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
VRLLOG,VRL Logistics Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
HITECHGEAR,The Hi-Tech Gears Limited,-,EQ,10, Interim Dividend - Rs 1.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
INDNIPPON,India Nippon Electricals Limited,-,EQ,5, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
IPCALAB,IPCA Laboratories Limited,-,EQ,2, Interim Dividend - Rs 5 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
KAJARIACER,Kajaria Ceramics Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
PAGEIND,Page Industries Limited,-,EQ,10, Interim Dividend - Rs 58 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
KITEX,Kitex Garments Limited,-,EQ,1, Interim Dividend - Re 1.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
MIRZAINT,Mirza International Limited,-,EQ,2, Interim Dividend - Rs 0.90 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
MRF,MRF Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
NATIONALUM,National Aluminium Company Limited,-,EQ,5, Interim Dividend - Rs 1.5 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
NAUKRI,Info Edge (India) Limited,-,EQ,10, Interim Dividend - Rs 3.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
NEULANDLAB,Neuland Laboratories Limited,-,EQ,10, Interim Dividend - Rs 2 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
LUXIND,Lux Industries Limited,-,EQ,2, Interim Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
MAANALU,Maan Aluminium Limited,-,EQ,10, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-02-21 10:06:12
