SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
808GS2022,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-01-30,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SHARDACROP,Sharda Cropchem Limited,-,EQ,10, Interim Dividend Rs 2 Per Share,2020-01-31,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MOTILALOFS,Motilal Oswal Financial Services Limited,-,EQ,1, Interim Dividend-Rs 4 Per Share,2020-01-31,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
DBCORP,D.B.Corp Limited,-,EQ,10, Interim Dividend Rs 3.5 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
NAM-INDIA,Nippon Life India Asset Management Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
TCIEXP,TCI Express Limited,-,EQ,2, Interim Dividend - Rs 1.50 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SIEMENS,Siemens Limited,-,EQ,2, Dividend - Rs 7 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
RBL,Rane Brake Lining Limited,-,EQ,10, Interim Dividend - Rs 6 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
CONTROLPR,Control Print Limited,-,EQ,10, Interim Dividend Rs 3.5 Per Share,2020-02-04,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
BAJAJELEC,Bajaj Electricals Limited,-,EQ,2, Rights 13:118 @ Premium Rs 308/-,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SHRIPISTON,Shriram Pistons & Rings Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
GODREJCP,Godrej Consumer Products Limited,-,EQ,1, Interim Dividend - Rs 2 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
VINATIORGA,Vinati Organics Limited,-,EQ,1, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Rs 1/- Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ALKALI,Alkali Metals Limited,-,EQ,10, Interim Dividend -Rs 1 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ACCELYA,Accelya Solutions India Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ZENSARTECH,Zensar Technologies Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
PERSISTENT,Persistent Systems Limited,-,EQ,10, Interim Dividend - Rs 9 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
DCMSHRIRAM,DCM Shriram Limited,-,EQ,2, Interim Dividend - Rs 4.20 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
CCL,CCL Products (India) Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
75GS2034,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MARICO,Marico Limited,-,EQ,1, Interim Dividend - Rs 3.25 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MANAPPURAM,Manappuram Finance Limited,-,EQ,2, Interim Dividend - Rs 0.55 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ORIENTELEC,Orient Electric Limited,-,EQ,1, Interim Dividend - Rs 0.65 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
KKCL,Kewal Kiran Clothing Limited,-,EQ,10, Interim Dividend - Rs 15 Per Share,2020-02-06,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
AEGISCHEM,Aegis Logistics Limited,-,EQ,1, Interim Dividend - Rs 0.50 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
BSOFT,BIRLASOFT LIMITED,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
NIITTECH,NIIT Technologies Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
CUMMINSIND,Cummins India Limited,-,EQ,2, Interim Dividend - Rs 7 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
VAIBHAVGBL,Vaibhav Global Limited,-,EQ,10, Interim Dividend - Rs 7 Per Share,2020-02-07,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SRF,SRF Limited,-,EQ,10, Interim Dividend - Rs 7 Per Share,2020-02-10,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
KPRMILL,K.P.R. Mill Limited,-,EQ,5, Interim Dividend - Rs 3.75 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
RECLTD,REC Limited,-,EQ,10, Interim Dividend - Rs 11 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
BROOKS,Brooks Laboratories Limited,-,EQ,10, Rights 9:20 @ Premium Rs 10/-,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
TVSMOTOR,TVS Motor Company Limited,-,EQ,1, Interim Dividend - Rs 2.10 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
BEL,Bharat Electronics Limited,-,EQ,1, Interim Dividend - Rs 1.40 Per Share,2020-02-11,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ARROWGREEN,Arrow Greentech Limited,-,EQ,10, Rights 1:5 @ Premium Rs 26/-,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
WELCORP,Welspun Corp Limited,-,EQ,5, Interim Dividend - Rs 10 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
DHAMPURSUG,Dhampur Sugar Mills Limited,-,EQ,10, Interim Dividend - Rs 6 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
DLF,DLF Limited,-,EQ,2, Interim Dividend - Rs 1.20 Per Share,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
IRBINVIT,IRB InvIT Fund,-,IV,102, Third Distribution - Interest Payment Rs 2 Per Unit/ Return Of Capital Re 0.70 Per Unit,2020-02-12,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ALKEM,Alkem Laboratories Limited,-,EQ,2, Interim Dividend - Rs 22 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
BLS,BLS International Services Limited,-,EQ,1, Interim Dividend - Rs 0.50 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ARCHIDPLY,Archidply Industries Limited,-,EQ,10, Demerger,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
82GS2022,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
828GS2032,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
824GS2027,GOVERNMENT OF INDIA,-,GS,100, Interest Payment,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
TI,Tilaknagar Industries Limited,-,EQ,10, Extra Ordinary General Meeting,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MOIL,MOIL Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
IIFLSEC,IIFL Securities Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
KEC,KEC International Limited,-,EQ,2, Interim Dividend - Rs 3.4 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
IBULHSGFIN,Indiabulls Housing Finance Limited,-,EQ,2, Interim Dividend - Rs 6 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SUPRAJIT,Suprajit Engineering Limited,-,EQ,1, Interim Dividend - Rs 0.75 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
METROPOLIS,Metropolis Healthcare Limited,-,EQ,2, Interim Dividend - Rs 8 Per Share,2020-02-13,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ENGINERSIN,Engineers India Limited,-,EQ,5, Interim Dividend - Rs 3.60 Per Share,2020-02-14,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
STARCEMENT,Star Cement Limited,-,EQ,1, Interim Dividend - Re 1 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SUNPHARMA,Sun Pharmaceutical Industries Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SYMPHONY,Symphony Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share/ Splecial Dividend - Rs 18 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ADFFOODS,ADF Foods Limited,-,EQ,10, Interim Dividend - Rs 1.5 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
DALBHARAT,Dalmia Bharat Limited,-,EQ,2, Interim Dividend - Rs 2 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
HEG,HEG Limited,-,EQ,10, Interim Dividend - Rs 25 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
HEROMOTOCO,Hero MotoCorp Limited,-,EQ,2, Interim Dividend - Rs 65 Per Sh,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
HIKAL,Hikal Limited,-,EQ,2, Interim Dividend - Re 1 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
RITES,RITES Limited,-,EQ,10, Interim Dividend - Rs 4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
IFGLEXPOR,IFGL Refractories Limited,-,EQ,10, Interim Dividend - Rs 2.50 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
KPITTECH,KPIT Technologies Limited,-,EQ,10, Interim Dividend - Rs 0.55 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MINDACORP,Minda Corporation Limited,-,EQ,2, Int Dividend - Rs 0.35 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MINDAIND,Minda Industries Limited,-,EQ,2, Interim Dividend - Rs 0.40 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
NHPC,NHPC Limited,-,EQ,10, Int Dividend - Rs 1.18 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
OSEINTRUST,Oriental InfraTrust,-,IV,100, Distribution - Rs 0.51 Per Unit,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
VIKASPROP,Vikas Proppant & Granite Limited,-,EQ,1, Interim Dividend - Re 0.10 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
GAIL,GAIL (India) Limited,-,EQ,10, Interim Dividend - Rs 6.4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
AARTIDRUGS,Aarti Drugs Limited,-,EQ,10, Interim Dividend - Rs 2 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ASTRAL,Astral Poly Technik Limited,-,EQ,1, Interim Dividend - Re 0.60 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
AUROPHARMA,Aurobindo Pharma Limited,-,EQ,1, Interim Dividend - Rs 1.75 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
RANEHOLDIN,Rane Holdings Limited,-,EQ,10, Interim Dividend - Rs 4 Per Share,2020-02-17,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
VIDHIING,Vidhi Specialty Food Ingredients Limited,-,EQ,1, Interim Dividend - Re 0.40 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
PAGEIND,Page Industries Limited,-,EQ,10, Interim Dividend - Rs 58 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
NEULANDLAB,Neuland Laboratories Limited,-,EQ,10, Interim Dividend - Rs 2 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
KAJARIACER,Kajaria Ceramics Limited,-,EQ,1, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SANDHAR,Sandhar Technologies Limited,-,EQ,10, Interim Dividend - Rs 1.25 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SATIA,Satia Industries Limited,-,EQ,1, Interim Dividend - Re 0.15 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
PRECWIRE,Precision Wires India Limited,-,EQ,5, Interim Dividend - Rs 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SUNDARMFIN,Sundaram Finance Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
TORNTPOWER,Torrent Power Limited,-,EQ,10, Interim Dividend - Rs 11.60 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
TRIVENI,Triveni Engineering & Industries Limited,-,EQ,1, Interim Dividend - Re 1.1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
SHREYANIND,Shreyans Industries Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
VISAKAIND,Visaka Industries Limited,-,EQ,10, Int Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
VRLLOG,VRL Logistics Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
GSCLCEMENT,Gujarat Sidhee Cement Limited,-,EQ,10, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
CONCOR,Container Corporation of India Limited,-,EQ,5, Int Dividend - Rs 0.75 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
DWARKESH,Dwarikesh Sugar Industries Limited,-,EQ,1, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
HITECHGEAR,The Hi-Tech Gears Limited,-,EQ,10, Interim Dividend - Rs 1.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
IPCALAB,IPCA Laboratories Limited,-,EQ,2, Interim Dividend - Rs 5 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
INDNIPPON,India Nippon Electricals Limited,-,EQ,5, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
KITEX,Kitex Garments Limited,-,EQ,1, Interim Dividend - Re 1.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MIRZAINT,Mirza International Limited,-,EQ,2, Interim Dividend - Rs 0.90 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MRF,MRF Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
NMDC,NMDC Limited,-,EQ,1, Interim Dividend - Rs 5.29 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
NRBBEARING,NRB Bearing Limited,-,EQ,2, Interim Dividend - Rs 0.80 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
LUXIND,Lux Industries Limited,-,EQ,2, Interim Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
MAANALU,Maan Aluminium Limited,-,EQ,10, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
NATIONALUM,National Aluminium Company Limited,-,EQ,5, Interim Dividend - Rs 1.5 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
NAUKRI,Info Edge (India) Limited,-,EQ,10, Interim Dividend - Rs 3.50 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,-,EQ,2, Interim Dividend - Rs 1.10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
CENTURYPLY,Century Plyboards (India) Limited,-,EQ,1, Interim Dividend - Re 1 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
ALKYLAMINE,Alkyl Amines Chemicals Limited,-,EQ,5, Interim Dividend - Rs 10 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
CESC,CESC Limited,-,EQ,10, Interim Dividend - Rs 20 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
AMRUTANJAN,Amrutanjan Health Care Limited,-,EQ,1, Interim Dividend - Re 1.55 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
BODALCHEM,Bodal Chemicals Limited,-,EQ,2, Interim Dividend - Re 0.80 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
FINEORG,Fine Organic Industries Limited,-,EQ,5, Interim Dividend - Rs 4 Per Share,2020-02-18,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-11 10:43:05
