SYMBOL,COMPANY,INDUSTRY,SERIES,FACEVALUE,PURPOSE,EXDATE,RECORDDATE,BCSTARTDATE,BCENDDATE,NDSTARTDATE,NDENDDATE,DOWNDAY
TCIEXP,TCI Express Limited,-,EQ,2, Interim Dividend - Rs 1.50 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
SIEMENS,Siemens Limited,-,EQ,2, Dividend - Rs 7 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
RBL,Rane Brake Lining Limited,-,EQ,10, Interim Dividend - Rs 6 Per Share,2020-02-03,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
CONTROLPR,Control Print Limited,-,EQ,10, Interim Dividend Rs 3.5 Per Share,2020-02-04,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
BAJAJELEC,Bajaj Electricals Limited,-,EQ,2, Rights 13:118 @ Premium Rs 308/-,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
SHRIPISTON,Shriram Pistons & Rings Limited,-,EQ,10, Interim Dividend - Rs 3 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
GODREJCP,Godrej Consumer Products Limited,-,EQ,1, Interim Dividend - Rs 2 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
VINATIORGA,Vinati Organics Limited,-,EQ,1, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Rs 1/- Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
ALKALI,Alkali Metals Limited,-,EQ,10, Interim Dividend -Rs 1 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
ACCELYA,Accelya Solutions India Limited,-,EQ,10, Interim Dividend - Rs 10 Per Share,2020-02-05,0000-00-00,0000-00-00,0000-00-00,0000-00-00,0000-00-00,2020-03-13 12:18:07
